hostAddress,port,ipProtocol,appProtocol,totalIdentities,totalHits,totalAllowed,totalBlocked,associatedPrivateResources,firstSeen,lastSeen,label
10.0.0.171,56002,UDP,stun-nat,1,1,1,0,,30/04/2025 16:41:21 BST,30/04/2025 16:41:21 BST,NOT_REVIEWED
10.0.0.18,53445,UDP,stun-nat,1,1,1,0,,30/04/2025 7:49:58 BST,30/04/2025 7:49:58 BST,NOT_REVIEWED
10.0.0.18,49872,UDP,stun-nat,1,1,1,0,,21/05/2025 5:42:16 BST,21/05/2025 5:42:16 BST,NOT_REVIEWED
10.0.0.186,55840,UDP,stun-nat,1,1,1,0,,30/04/2025 17:26:16 BST,30/04/2025 17:26:16 BST,NOT_REVIEWED
10.0.0.189,62153,UDP,stun-nat,1,1,1,0,,30/04/2025 17:14:28 BST,30/04/2025 17:14:28 BST,NOT_REVIEWED
10.0.0.189,49678,UDP,stun-nat,1,1,1,0,,30/04/2025 17:25:12 BST,30/04/2025 17:25:12 BST,NOT_REVIEWED
10.0.0.189,62153,UDP,stun-nat,1,1,1,0,,30/04/2025 17:14:28 BST,30/04/2025 17:14:28 BST,NOT_REVIEWED
10.0.0.19,49755,UDP,stun-nat,1,1,1,0,,30/04/2025 16:50:09 BST,30/04/2025 16:50:09 BST,NOT_REVIEWED
10.0.0.202,56905,UDP,stun-nat,1,1,1,0,,30/04/2025 16:41:30 BST,30/04/2025 16:41:30 BST,NOT_REVIEWED
10.0.0.202,56905,UDP,stun-nat,1,1,1,0,,30/04/2025 16:41:30 BST,30/04/2025 16:41:30 BST,NOT_REVIEWED
10.0.0.203,53767,UDP,stun-nat,1,1,1,0,,21/05/2025 5:22:46 BST,21/05/2025 5:22:46 BST,NOT_REVIEWED
10.0.0.203,53767,UDP,stun-nat,1,1,1,0,,21/05/2025 5:22:46 BST,21/05/2025 5:22:46 BST,NOT_REVIEWED
10.0.0.204,61164,UDP,stun-nat,1,1,1,0,,30/04/2025 16:45:14 BST,30/04/2025 16:45:14 BST,NOT_REVIEWED
10.0.0.204,61164,UDP,stun-nat,1,1,1,0,,30/04/2025 16:45:14 BST,30/04/2025 16:45:14 BST,NOT_REVIEWED
10.0.0.204,61164,UDP,stun-nat,1,1,1,0,,30/04/2025 16:45:14 BST,30/04/2025 16:45:14 BST,NOT_REVIEWED
10.0.0.22,61503,UDP,stun-nat,1,1,1,0,,08/05/2025 11:06:16 BST,08/05/2025 11:06:16 BST,NOT_REVIEWED
10.0.0.23,56904,UDP,stun-nat,1,1,1,0,,30/04/2025 16:58:56 BST,30/04/2025 16:58:56 BST,NOT_REVIEWED
10.0.0.23,56904,UDP,stun-nat,1,1,1,0,,30/04/2025 16:58:56 BST,30/04/2025 16:58:56 BST,NOT_REVIEWED
10.0.0.236,53681,UDP,stun-nat,1,1,1,0,,30/04/2025 16:55:52 BST,30/04/2025 16:55:52 BST,NOT_REVIEWED
10.0.0.236,61952,UDP,stun-nat,1,1,1,0,,30/04/2025 16:58:55 BST,30/04/2025 16:58:55 BST,NOT_REVIEWED
10.0.0.236,53681,UDP,stun-nat,1,1,1,0,,30/04/2025 16:55:52 BST,30/04/2025 16:55:52 BST,NOT_REVIEWED
10.0.0.236,61952,UDP,stun-nat,1,1,1,0,,30/04/2025 16:58:55 BST,30/04/2025 16:58:55 BST,NOT_REVIEWED
10.0.0.236,60367,UDP,stun-nat,1,1,1,0,,30/04/2025 16:58:57 BST,30/04/2025 16:58:57 BST,NOT_REVIEWED
10.0.0.238,52743,UDP,stun-nat,1,1,1,0,,30/04/2025 17:02:21 BST,30/04/2025 17:02:21 BST,NOT_REVIEWED
10.0.0.238,54558,UDP,stun-nat,1,1,1,0,,30/04/2025 16:43:12 BST,30/04/2025 16:43:12 BST,NOT_REVIEWED
10.0.0.238,54558,UDP,stun-nat,1,1,1,0,,30/04/2025 16:43:12 BST,30/04/2025 16:43:12 BST,NOT_REVIEWED
10.0.0.24,64831,UDP,stun-nat,1,1,1,0,,19/05/2025 14:48:14 BST,19/05/2025 14:48:14 BST,NOT_REVIEWED
10.0.0.24,64831,UDP,stun-nat,1,1,1,0,,19/05/2025 14:48:14 BST,19/05/2025 14:48:14 BST,NOT_REVIEWED
10.0.0.24,51237,UDP,stun-nat,1,1,1,0,,19/05/2025 15:01:12 BST,19/05/2025 15:01:12 BST,NOT_REVIEWED
10.0.0.244,61826,UDP,stun-nat,1,1,1,0,,30/04/2025 16:52:40 BST,30/04/2025 16:52:40 BST,NOT_REVIEWED
10.0.0.246,49175,UDP,stun-nat,1,1,1,0,,30/04/2025 16:39:29 BST,30/04/2025 16:39:29 BST,NOT_REVIEWED
10.0.0.248,58483,UDP,stun-nat,1,1,1,0,,30/04/2025 17:19:43 BST,30/04/2025 17:19:43 BST,NOT_REVIEWED
10.0.0.248,59627,UDP,stun-nat,1,1,1,0,,30/04/2025 16:47:57 BST,30/04/2025 16:47:57 BST,NOT_REVIEWED
10.0.0.248,50051,UDP,,1,1,1,0,,05/05/2025 15:13:13 BST,05/05/2025 15:13:13 BST,NOT_REVIEWED
10.0.0.248,61751,UDP,stun-nat,1,1,1,0,,30/04/2025 17:23:18 BST,30/04/2025 17:23:18 BST,NOT_REVIEWED
10.0.0.248,61751,UDP,stun-nat,1,1,1,0,,30/04/2025 17:23:18 BST,30/04/2025 17:23:18 BST,NOT_REVIEWED
