userID,userType,Domain
2454adf9-bf18-4fbf-a80f-f09b735604ce,AD,arup.com
457a6d69-ca28-491a-8b90-e8bd04f28e76,AD,arup.com
51c268bc-26ea-4265-b8c4-82d812d1ec0f,AD,arup.com
e3e4ff7a-d76c-4f23-9f27-61e9e7f8190e,AD,arup.com
1a0ea0a8-d905-4f83-9818-b7d32c6e4d87,AD,arup.com
452195e2-4710-4837-94b3-e834c614c400,AD,arup.com
3c41a821-3544-4a75-80c5-69fd7dde4fb8,AD,arup.com
25965a30-e7a8-4480-a8d3-ef03df00ff20,AD,arup.com
1cc70fbe-94b8-49c1-8a6b-5cd2ce6e462e,AD,arup.com
39704f99-b3e3-49b8-817e-f6f0f3d17ac2,AD,arup.com
5d46558b-328a-4f09-a610-356d6bb989f1,AD,arup.com
2bb6c9ff-992e-4144-917b-b10367983776,AD,arup.com
c364d13e-734d-4fcf-8db9-bc51326d6de6,AD,arup.com
7751ccf6-6f77-4e6a-a0bb-5506e1c1ccaa,AD,arup.com
01eed011-7408-45a3-974a-d386b35d8c20,AD,arup.com
2cabdd52-fcb3-40f8-8031-e01bd47eeb2c,AD,arup.com
3dd87765-3ca1-4134-9d1f-b568be57f0fd,AD,arup.com
85ddce6b-ddb4-4c35-bae4-f7858b31296f,Entra,arup.onmicrosoft.com
696e415a-3572-4f8d-b0ea-84359f51f9b7,Entra,arup.onmicrosoft.com
090e133f-75a5-471c-8d50-fe57970241fe,Entra,arup.onmicrosoft.com
21d0c26a-2160-46bf-b0c6-b08476d0d2ab,Entra,arup.onmicrosoft.com
2479e05c-cea0-43cd-b0e6-e815eb39a159,Entra,arup.onmicrosoft.com
ebd78aa7-6cd5-45e6-a0c9-19c7918ab6c0,Entra,arup.onmicrosoft.com
c58fbdc5-1af6-403d-a539-e2ec25237f64,Entra,arup.onmicrosoft.com
b3a4e117-bad5-4bd3-844f-d85ab1b18c84,Entra,arup.onmicrosoft.com
5479a182-207a-47bf-8d79-fe5ab0dda8e0,Entra,arup.onmicrosoft.com
43c2fc1b-f9aa-40ee-ba75-f29301e85a2e,Entra,arup.onmicrosoft.com
85ee34c1-8e5f-442f-800f-63a148face8b,Entra,arup.onmicrosoft.com
8e05b0ca-f160-4af5-aa7e-1797d1e6c78c,Entra,arup.onmicrosoft.com
e3d22691-2baa-443a-b0eb-32504b2c5881,Entra,arup.onmicrosoft.com
30729a5c-8a06-47c3-b570-ced108ab2b34,Entra,arup.onmicrosoft.com
da6e0a4f-ddf4-4728-9d90-6ac02fb24076,Entra,arup.onmicrosoft.com
60667191-7617-4c51-9e96-152bf125e691,Entra,arup.onmicrosoft.com
2423f73e-4463-41fd-a20b-39cd9419a5b2,Entra,arup.onmicrosoft.com
65a41256-2839-45d7-8107-89dbaa549080,Entra,arup.onmicrosoft.com
a628dc17-2b01-41da-8790-b6e6e4e61065,Entra,arup.onmicrosoft.com
26fac455-0d70-49d5-b362-9be033ab1ab9,Entra,arup.onmicrosoft.com
559cecf1-f0f9-4f37-88ea-a9eb9507e0fb,AD,arup.com
7c39d346-a441-4224-b075-2ee4ffb6ad2e,AD,arup.com
11fe9995-a401-462d-9d09-5fc1ac99a91a,AD,arup.com
70de0d99-e414-413d-9c5e-c39575bcf0f8,AD,arup.com
c879731c-9196-4572-a132-3f19a0eb5531,AD,arup.com
1a260acd-f152-485c-8265-31da918cdf8a,AD,arup.com
5bdc74af-9063-4b41-a519-680c49d33026,AD,arup.com
fbb6ca0d-8290-44fa-84e9-e62d0ba10c60,AD,arup.com
86b988f6-469d-4fe2-94bc-8cfd57856357,AD,arup.com
543732a1-d89b-459f-9390-4d87295772b3,AD,arup.com
31ebcd1b-dfe0-4eed-9355-a317e9e1e3b5,AD,arup.com
08f560e9-5e16-43d6-8bcd-432bf9c310fc,AD,arup.com
e5978c55-062a-4e87-a55e-32a929740c99,AD,arup.com
9d75dce8-fe0f-4666-af59-21068d11a288,AD,arup.com
042048a7-283f-416f-8a69-bb43704a91a9,AD,arup.com
602c3287-5dde-4861-be6f-f2a0361029f4,AD,arup.com
59a54aac-69e1-4afc-804c-49fae2027149,AD,arup.com
476def74-4145-4e52-a767-d0ecdd6a3310,AD,arup.com
5e1bba84-f443-4c8e-ac6b-502d71608193,AD,arup.onmicrosoft.com
8038d5ba-abb3-4a29-b1cc-1019be845700,AD,arup.com
acfbb25f-4c36-47d1-b7d0-d38a501d9df6,AD,arup.com
699c0ff3-16f5-471b-ad8b-dda4448cc61b,AD,arup.com
57451869-4959-4ba5-9fbd-e7077cc8015c,AD,arup.com
517c7f47-e4d1-41cf-b148-68d68ae83214,AD,arup.com
21b78499-80aa-4a8f-b72f-f77a7c98a148,AD,arup.com
15f641fb-6f0a-43c9-baaa-3798a536c237,AD,arup.com
4d9dbc8e-2ac0-4976-b172-45208679bbc4,AD,arup.com
33c07e53-0850-4f9b-9123-5f90c31c070c,AD,arup.com
95d75cbe-9ffb-498f-a124-68f4b7d8d31d,AD,arup.com
36eaed40-9436-4a35-8c64-06ba064f6655,AD,arup.com
6db35cf9-b109-47c9-8a60-ed799a460c84,AD,arup.com
62cb0adc-4c8c-4e12-ba52-42a6701e3efc,AD,arup.com
6f67a3e0-b749-4754-8687-088a1dfd256d,AD,arup.com
82d7075d-5523-451e-87e3-ea5910012c90,Entra,arup.onmicrosoft.com
52e74c9d-83bd-460d-a974-a323f05c942a,Entra,arup.onmicrosoft.com
86c9b205-7db4-41e6-be71-d7a53eee69d1,AD,arup.com
0015588e-3613-46e9-a635-517d4e05b324,AD,arup.com
aa04807c-dc5c-4bcf-a63c-08c5203efdca,AD,arup.com
5563fd9c-04d9-463e-a3f4-3bd60bdfaac0,AD,arup.com
9af2da4b-9422-4d63-bca8-48987ee4df4d,AD,arup.com
76098317-820f-46c5-b240-0fb36215ca47,AD,arup.com
402018a3-2bc5-4fc2-b8d8-5549b84f273f,AD,arup.com
88e44c97-6e97-4a99-b746-a74490ffb721,AD,arup.com
90dffd69-0370-4fa0-a7e8-ba488879bf23,AD,arup.com
6cccab1f-1800-4632-96fb-85540f639308,AD,arup.onmicrosoft.com
cf710051-923f-4849-b590-abd122bcc2e9,AD,arup.com
3c9f0d41-3b38-4c7b-abc2-708026048270,AD,arup.com
59caa2b3-3aa8-4330-be78-8c1dde61f646,AD,arup.com
f50478a6-42b6-4101-9762-37ee70080567,AD,arup.com
e27b086c-eeb0-407b-b48c-fe8c2a02e0e4,AD,arup.com
265ee47f-f9de-429c-8284-fed92a05196c,AD,arup.com
df556bab-9574-4039-85d8-979e93d88543,AD,arup.com
74bd745e-5bc9-4b67-9d09-546b0dee1070,AD,arup.com
4b22cf7a-2ecc-4371-a81f-dfa77b17eb0c,AD,arup.com
a69867b4-4856-4e48-bd38-056fa5ba31bf,AD,arup.com
a00667d0-ab57-495c-af2b-c5f40d9b1b36,AD,arup.com
1a3c6dc5-9f5c-4356-8a5e-19bc99e95881,AD,arup.com
4cd2bd6d-792a-496b-b8f0-54b78ec78f0b,Entra,arup.onmicrosoft.com
755e9d11-59a4-4660-8a52-664bb1db99fe,AD,arup.com
67690551-fec5-45fe-8f65-4c07f7b665d6,AD,arup.com
9776e50d-41e0-4f06-9d3c-ddf334a3f795,AD,arup.com
5d073c67-9d6f-4315-bbdb-0ddb24c7a23e,AD,arup.com
141ff79c-28c8-4968-b71e-393239e39729,AD,arup.onmicrosoft.com
5234d478-9b04-42e5-939d-85d70a32c6a2,AD,arup.com
99827b76-1dcd-46e7-974c-44aa40bc439f,AD,arup.com
91eaced8-a98b-40ba-913f-a880237822af,AD,arup.com
1a010618-9b1c-4175-9858-b39584365239,AD,arup.com
a3bd9ce8-4b91-4c4f-ae84-c870cfdc1dc8,AD,arup.com
981f18c2-ef6a-4f08-b65b-2a81b8c71e1d,AD,arup.com
99806859-27f3-43d6-8770-66dadaf179e0,AD,arup.com
e3368a4d-8b6a-4ddd-a0fe-9753f6dc8d08,AD,arup.com
95ef7be1-021d-4b93-9ad3-03aa170d5ff6,AD,arup.com
0fb7dfbc-f23a-4233-88f4-5830e9b14d3c,AD,arup.com
c1b4910e-43f1-43a4-925d-4847951ac4ca,AD,arup.com
04e65f7b-43f4-463c-a3a4-c0b63dfd14b4,AD,arup.com
c7899210-ae71-44c3-9d83-63c6c386d161,AD,arup.com
e9c7c947-ff5a-4134-a98a-d31974f38e4c,AD,arup.com
c4859475-3890-4a0c-83d1-9cb35769676d,AD,arup.com
f2c53afc-4827-40a5-8700-3a02b8927a82,AD,arup.com
c981d576-ed06-434a-8b40-ea69d66f7b70,Entra,arup.onmicrosoft.com
af7090a7-350c-4949-830d-01aa78361095,Entra,arup.onmicrosoft.com
5b008cc1-aa10-4e8f-8ea3-39b4ae24324a,AD,arup.com
f21acd30-a385-48d0-bc16-a6b8749b1b12,AD,arup.com
b8cfa8cd-0cb2-417c-bd51-ce9dba4f9129,AD,arup.com
4cc037e4-f8da-47b6-b079-ec5d6b57f936,AD,arup.com
bbcd1cbe-24ab-4736-8919-1e94fb4c5804,AD,arup.com
599ee6d0-ee99-4823-a395-660b345baf67,AD,arup.com
1fae76f5-3e88-498e-b1a7-772cbdaea9a3,Entra,arup.onmicrosoft.com
de10d126-4ec7-4c73-be34-4ecbf839d04b,AD,arup.com
da212334-f3e1-414d-8a85-1b228cd7a506,AD,arup.com
2c8f33bf-43d9-4ddb-8d27-17176e1fd525,AD,arup.com
55efd7c6-dfcc-4870-828d-01f1da34b199,AD,arup.com
83f8fcea-4d00-4f6e-bab1-13f0c1d828cf,AD,arup.com
9e59a406-3e11-4811-ac35-bff7e5e8cf67,AD,arup.com
d414621d-7097-4aea-85f6-22ca30a793e6,AD,arup.com
ff3c7da3-176a-42fc-b2a5-69e86c2a8c8a,Entra,arup.onmicrosoft.com
336734f8-4dcf-4bec-9bcb-be9c0503f3ce,AD,arup.com
33c8eb3f-7f46-4ac8-a3f9-a82c532111c7,AD,arup.com
2a0d7f0e-7bb8-40c6-8971-d3a79c197851,Entra,arup.onmicrosoft.com
86fb295a-db44-4bde-b301-d058683e1879,AD,arup.com
804cc0e7-16e5-45e8-906e-115dbdfe72cf,Entra,arup.onmicrosoft.com
8c4f4cb5-e5fc-4f2b-b5f1-1cd7fb9fe434,AD,arup.com
ce04fe18-bb62-4c7e-bd2b-fcbc0176d43f,Entra,arup.onmicrosoft.com
66eaa096-3eab-48cd-aba8-eea3a32f7b20,AD,arup.com
d2e0696c-e0a6-47a7-9696-50a3c48d4a2a,Entra,arup.onmicrosoft.com
0f10f3fa-690f-4be3-98e6-d516762fe7c2,AD,arup.com
3bce871e-589b-4601-b822-9c2d0f0b2197,Entra,arup.onmicrosoft.com
70a0d1ce-01ae-4ba7-bbfc-e799692138ca,AD,arup.com
77038451-c4a1-4d2b-bec5-9ad6c1af2cf9,Entra,arup.onmicrosoft.com
ffe0ab8e-a292-4e87-9257-d80a5f5c5ea6,AD,arup.com
41535d71-44ce-41f1-ac2f-ab648d871b81,Entra,arup.onmicrosoft.com
3b198358-66b7-4c24-aeee-9136893c653b,AD,arup.com
978b36ee-d0cb-49f3-8def-7d794957f5a4,Entra,arup.onmicrosoft.com
24f63486-0dd7-4fff-8406-1cfe71eba810,AD,arup.com
87cd1d0a-87e2-4837-8979-b64dd5242b1d,Entra,arup.onmicrosoft.com
e4d4ae6d-bd6a-4360-a8e0-5ea28705a7f2,AD,arup.com
4d7b0788-93c9-4782-bf85-e16cfdd47598,Entra,arup.onmicrosoft.com
b8326741-5d1b-4a7a-ab07-315c8fd03cf6,AD,arup.com
bebd0bf8-a87a-4efc-a97b-d75876ac6263,Entra,arup.onmicrosoft.com
26df33dc-14df-48f1-9ae5-696394849b65,AD,arup.com
4fc9543b-b623-475b-8b29-a295e9579029,Entra,arup.onmicrosoft.com
e9323daf-9ca8-4491-8d10-02d04c5f7841,AD,arup.com
38b96044-7058-41fd-8dfe-7da44c58c71d,Entra,arup.onmicrosoft.com
ebb990f8-fccb-44ac-a1e3-d14ec94dfc23,AD,arup.com
28bbc375-f89b-47be-8a6d-003f14210823,Entra,arup.onmicrosoft.com
76aca7b4-ea1c-4bfb-aaca-d227c29d0a66,AD,arup.com
1cca3c65-d727-4598-9607-33c0270d97f1,Entra,arup.onmicrosoft.com
45fb0737-5db2-4531-b1af-6e9bf49a3f94,AD,arup.com
6f2be065-ec64-4095-8405-0a96bad22c48,Entra,arup.onmicrosoft.com
979019b1-2659-45f3-83f7-2333c6665612,Entra,arup.onmicrosoft.com
509bfe5a-6e82-4b3e-a228-81239c2fd125,Entra,arup.onmicrosoft.com
dc25a85d-eca8-4075-8633-dda30d14e850,Entra,arup.onmicrosoft.com
0b3b325c-9a67-48c9-8b99-a3b7bc0c9338,AD,arup.com
